id,nome,luogo1,luogo2,km,durata,gpx_url
1,"Gran San Bernardo - Etroubles","Gran San Bernardo","Etroubles",14.9,4,"01-GSB-Etroubles.gpx"
2,"Etroubles - Aosta","Etroubles","Aosta",13.6,3.3,"02-Etroubles-Aosta.gpx"
3,"Aosta - Châtillon","Aosta","Châtillon",27.7,8,"03-Aosta-Chatillon.gpx"
4,"Châtillon - Verrès","Châtillon","Verrès",19,6,"04-Chatillon-Verres.gpx"
5,"Verrès - Pont St.Martin","Verrès","Pont St.Martin",14.8,4,"05-Vèrres-PontSaintMartin.gpx"
6,"Pont St.Martin - Ivrea","Pont St.Martin","Ivrea",21.5,5.3,"06-PontSaintMartin-Ivrea.gpx"
7,"Ivrea - Viverone","Ivrea","Viverone",20.1,5,"07-Ivrea-Viverone.gpx"
8,"Viverone - Santhià","Viverone","Santhià",16.7,4,"08-Viverone-Santhià.gpx"
9,"Santhià - Vercelli","Santhià","Vercelli",26.8,6.4,"09-Santhià-Vercelli.gpx"
10,"Vercelli - Robbio","Vercelli","Robbio",18.6,4.3,"10-Vercelli-Robbio.gpx"
11,"Robbio - Mortara","Robbio","Mortara",14.3,3.3,"11-Robbio-Mortara.gpx"
12,"Mortara - Garlasco","Mortara","Garlasco",20.7,5.3,"12-Mortara-Garlasco.gpx"
13,"Garlasco - Pavia","Garlasco","Pavia",25.5,6.3,"13-Garlasco-Pavia.gpx"
14,"Pavia - Santa Cristina","Pavia","Santa Cristina",28,7,"14-Pavia-SantaCristina.gpx"
15,"Santa Cristina - Orio Litta","Santa Cristina","Orio Litta",16.1,4.15,"15-SantaCristina-OrioLitta.gpx"
16,"Orio Litta - Piacenza","Orio Litta","Piacenza",22.1,5.3,"16-OrioLitta-Piacenza.gpx"
17,"Piacenza - Fiorenzuola d’Arda","Piacenza","Fiorenzuola d’Arda",31.6,8.3,"17-Piacenza-Fiorenzuola.gpx"
18,"Fiorenzuola d’Arda - Fidenza","Fiorenzuola d’Arda","Fidenza",22.3,5.3,"18-Fiorenzuola-Fidenza.gpx"
19,"Fidenza - Fornovo","Fidenza","Fornovo",34,8.3,"19-Fidenza-Fornovo.gpx"
20,"Fornovo - Cassio","Fornovo","Cassio",20.9,5.3,"20-Fornovo-Cassio.gpx"
21,"Cassio - Passo della Cisa","Cassio","Passo della Cisa",19.2,5.3,"21-Cassio-PassoCisa.gpx"
22,"Passo della Cisa - Pontremoli","Passo della Cisa","Pontremoli",19.3,5.3,"22-PassoCisa-Pontremoli.gpx"
23,"Pontremoli - Aulla","Pontremoli","Aulla",32.3,8.3,"23-Pontremoli-Aulla.gpx"
24,"Aulla - Avenza","Aulla","Avenza",32.9,8,"24-Aulla-Avenza.gpx"
25,"Avenza - Pietrasanta","Avenza","Pietrasanta",29.1,6,"25-Avenza-Pietrasanta.gpx"
26,"Pietrasanta - Lucca","Pietrasanta","Lucca",32.4,7.3,"26-Pietrasanta-Lucca.gpx"
27,"Lucca - Altopascio","Lucca","Altopascio",18.5,4.3,"27-Lucca-Altopascio.gpx"
28,"Altopascio - San Miniato","Altopascio","San Miniato",29,7,"28-Altopascio-SanMiniato.gpx"
29,"San Miniato - Gambassi Terme","San Miniato","Gambassi Terme",24,7,"29-SanMiniato-GambassiTerme.gpx"
30,"Gambassi Terme - San Gimignano","Gambassi Terme","San Gimignano",13.4,3.3,"30-GambassiTerme-SanGimignano.gpx"
31,"San Gimignano - Monteriggioni","San Gimignano","Monteriggioni",30.9,8,"31-SanGimignano-Monteriggioni.gpx"
32,"Monteriggioni - Siena","Monteriggioni","Siena",20.6,5,"32-Monteriggioni-Siena.gpx"
33,"Siena - Ponte d’Arbia","Siena","Ponte d’Arbia",25.7,6.3,"33-Siena-PontedArbia.gpx"
34,"Ponte d’Arbia - San Quirico d’Orcia","Ponte d’Arbia","San Quirico d’Orcia",26.2,6.3,"34-PontedArbia-SanQuirico.gpx"
35,"San Quirico d’Orcia - Radicofani","San Quirico d’Orcia","Radicofani",32.2,8.3,"35-SanQuirico-Radicofani.gpx"
36,"Radicofani - Acquapendente","Radicofani","Acquapendente",23.9,6,"36-Radicofani-Acquapendente.gpx"
37,"Acquapendente - Bolsena","Acquapendente","Bolsena",22.1,5.3,"37-Acquapendente-Bolsena.gpx"
38,"Bolsena - Montefiascone","Bolsena","Montefiascone",17.7,4.3,"38-Bolsena-Montefiascone.gpx"
39,"Montefiascone - Viterbo","Montefiascone","Viterbo",17.8,4.3,"39-Montefiascone-Viterbo.gpx"
40,"Viterbo - Vetralla","Viterbo","Vetralla",16.9,4.15,"40-Viterbo-Vetralla.gpx"
41,"Vetralla - Sutri","Vetralla","Sutri",23.6,6,"41-Vetralla-Sutri.gpx"
42,"Sutri - Campagnano di Roma","Sutri","Campagnano di Roma",23.8,6,"42-Sutri-Campagnano.gpx"
43,"Campagnano di Roma - La Storta","Campagnano di Roma","La Storta",22.4,6,"43-Campagnano-LaStorta.gpx"
44,"La Storta - Roma","La Storta","Roma",17.2,4.2,"44-LaStorta-Roma.gpx"
